State,2010,2011,2013,2014,2015,2016,2017,2018,2019
Alabama,2357,3073,1284,2093,3198,3923,1254,970,1107
Alaska,688,515,603,384,768,572,364,367,720
Arizona,1517,1988,1756,1543,1662,2288,2321,2000,1869
Arkansas,2010,2627,881,1302,1837,1513,1706,1119,660
California,6502,7989,9907,7865,8745,7349,9560,8054,8194
Colorado,1076,1286,1176,830,709,1190,967,1328,857
Connecticut,93,196,76,28,76,268,97,52,88
Delaware,12,0,4,0,0,0,5,0,0
Florida,2334,5102,101,2436,2422,3067,3280,2249,2121
Georgia,3489,8387,2942,3562,2331,5086,3929,2572,3158
Hawaii,9,3,0,0,17,10,3,3,155
Idaho,977,1094,1471,1180,1324,630,1598,1132,960
Illinois,95,62,24,36,18,12,13,6,2
Indiana,57,27,19,54,16,27,22,26,38
Iowa,123,561,436,577,533,465,427,386,153
Kansas,35,99,16,68,154,75,71,71,19
Kentucky,1677,1040,1030,1466,774,1220,892,376,755
Louisiana,2166,3079,1027,1005,1172,508,1064,647,361
Maine,550,308,426,282,375,796,489,542,355
Maryland,160,131,126,125,158,120,108,76,140
Massachusetts,2014,1116,1132,1169,1525,1526,1216,320,289
Michigan,459,322,436,268,526,389,270,431,361
Minnesota,2037,1238,1115,990,1849,1422,1036,1344,1021
Mississippi,1696,2341,5,97,2294,94,2775,1168,959
Missouri,1314,2732,51,105,3161,2610,3398,103,67
Montana,1035,1335,1723,1646,2432,2026,2422,1342,1474
Nebraska,24,80,10,38,51,45,49,35,15
Nevada,431,817,763,531,551,467,768,649,562
New Hampshire,358,139,85,62,114,148,36,145,16
New Jersey,2011,708,1013,962,1013,1050,735,625,727
New Mexico,953,1875,1064,728,696,1240,813,1334,859
New York,151,47,138,94,186,196,57,109,79
North Carolina,3665,5279,3514,4625,3828,4007,5125,3625,3872
North Dakota,448,353,515,567,726,563,1086,1026,488
Ohio,557,246,31,63,69,410,68,67,498
Oklahoma,1568,2486,610,1007,1309,1938,1906,1707,1104
Oregon,1299,1151,2848,3087,2588,1245,2049,2019,2293
Pennsylvania,506,204,639,877,831,871,537,1276,547
Rhode Island,30,30,7,1,86,79,31,32,45
South Carolina,1617,2703,1337,1374,976,982,1092,1136,992
South Dakota,732,1248,889,918,1032,1216,1420,433,346
Tennessee,1653,1170,424,1249,611,2165,593,341,571
Texas,6691,3470,70,9677,9272,9300,9827,10541,6892
Utah,1054,1102,1276,1035,930,1078,1166,1333,1025
Vermont,81,11,124,53,102,150,55,59,19
Virginia,847,831,482,736,631,580,1522,1266,364
Washington,888,993,1527,1480,2013,1272,1346,1743,1394
West Virginia,617,342,557,671,8,18,520,467,593
Wisconsin,1278,735,671,613,993,713,696,825,710
Wyoming,530,680,468,403,512,711,599,611,486
