,state_name,Number_of_fires,NumberOfAcresBurned,latitude.x,longitude.x,business_closed,latitude.y,longitude.y,population
1,Alaska,688,1129421,61.65627756,-153.3372215,1448,61.65627756,-153.3372215,709930
2,Alabama,2357,26331,32.88404246,-86.81980012,8278,32.88404246,-86.81980012,4779588
3,Arkansas,2010,30954,35.13441271,-92.37732717,5061,35.13441271,-92.37732717,2916042
4,Arizona,1517,74445,33.70582711,-111.5757555,13916,33.70582711,-111.5757555,6394519
5,California,6502,108742,36.42589527,-119.92227,80810,36.42589527,-119.92227,37249464
6,Colorado,1076,40788,39.23322914,-105.345361,15187,39.23322914,-105.345361,5029374
7,Connecticut,93,262,41.57642401,-72.76643961,7009,41.57642401,-72.76643961,3574097
8,Delaware,12,32,39.20801194,-75.51738373,2151,39.20801194,-75.51738373,897925
9,Florida,2334,37929,28.16297891,-82.02580079,51611,28.16297891,-82.02580079,18801226
10,Georgia,3489,14534,32.97087433,-83.64010201,21224,32.97087433,-83.64010201,9687711
11,Hawaii,9,10172,20.93264234,-157.2496423,2596,20.93264234,-157.2496423,1360301
12,Iowa,123,2722,42.04040707,-93.37072507,5224,42.04040707,-93.37072507,3046945
13,Idaho,977,613868,44.61020072,-114.7432341,4318,44.61020072,-114.7432341,1566941
14,Illinois,95,630,40.37033852,-89.01153836,25964,40.37033852,-89.01153836,12830581
15,Indiana,57,132,39.95522663,-86.26795601,11004,39.95522663,-86.26795601,6483792
16,Kansas,35,20364,38.49976112,-97.24549614,5507,38.49976112,-97.24549614,2852940
17,Kentucky,1677,51003,37.57183915,-84.80692336,7015,37.57183915,-84.80692336,4345124
18,Louisiana,2166,33401,30.95465917,-91.81704621,7619,30.95465917,-91.81704621,4532830
19,Massachusetts,2014,2117,42.2326714,-71.53445209,13164,42.2326714,-71.53445209,6547612
20,Maryland,160,1577,39.04197908,-76.73963974,11543,39.04197908,-76.73963974,5773561
21,Maine,550,318,44.60679567,-69.3790644,3098,44.60679567,-69.3790644,1328255
22,Michigan,459,11441,43.52012263,-84.7889791,18291,43.52012263,-84.7889791,9883612
23,Minnesota,2037,33969,45.57499585,-94.17977243,11055,45.57499585,-94.17977243,5304096
24,Missouri,1314,17620,38.40328442,-92.49087572,12479,38.40328442,-92.49087572,5989092
25,Mississippi,1696,15338,32.90946402,-89.68699837,4596,32.90946402,-89.68699837,2967323
26,Montana,1035,57380,46.98789992,-110.3075369,3035,46.98789992,-110.3075369,990003
27,North Carolina,3665,20000,35.56241446,-79.40810974,19561,35.56241446,-79.40810974,9535477
28,North Dakota,448,3840,47.52156679,-99.68438825,1308,47.52156679,-99.68438825,671781
29,Nebraska,24,1125,41.19778718,-98.2245354,3409,41.19778718,-98.2245354,1826766
30,New Hampshire,358,145,43.40772214,-71.58166488,2944,43.40772214,-71.58166488,1316573
31,New Jersey,2011,10630,40.37662403,-74.51481197,21516,40.37662403,-74.51481197,8791894
32,New Mexico,953,231403,34.7067053,-106.1919228,3992,34.7067053,-106.1919228,2056349
33,Nevada,431,23863,38.08381309,-116.7467826,6770,38.08381309,-116.7467826,2701225
34,New York,151,2066,42.2633972,-75.13777023,44876,42.2633972,-75.13777023,19378077
35,Ohio,557,3995,40.38506797,-82.72786984,19230,40.38506797,-82.72786984,11535123
36,Oklahoma,1568,81238,35.50406724,-97.03554083,7061,35.50406724,-97.03554083,3751609
37,Oregon,1299,69623,44.47524005,-122.0039465,9585,44.47524005,-122.0039465,3831165
38,Pennsylvania,506,3203,40.642921,-77.66253933,21591,40.642921,-77.66253933,12702102
39,Rhode Island,30,23,41.70440597,-71.51027208,2382,41.70440597,-71.51027208,1052581
40,South Carolina,1617,6592,33.95501873,-81.04166108,9065,33.95501873,-81.04166108,4625364
41,South Dakota,732,6175,44.31004642,-99.15471485,1735,44.31004642,-99.15471485,813464
42,Tennessee,1653,20283,35.8204421,-86.31477376,10980,35.8204421,-86.31477376,6339942
43,Texas,6691,203891,31.26294994,-97.76617974,43204,31.26294994,-97.76617974,25144800
44,Utah,1054,65236,39.77955477,-111.8284498,7209,39.77955477,-111.8284498,2763264
45,Virginia,847,7698,37.65707508,-78.34819352,16266,37.65707508,-78.34819352,8001239
46,Vermont,81,86,44.03980451,-72.65377576,1570,44.03980451,-72.65377576,625741
47,Washington,888,41151,47.34743208,-121.1232716,16049,47.34743208,-121.1232716,6712346
48,Wisconsin,1278,2185,44.17820659,-89.60147856,10021,44.17820659,-89.60147856,5686814
49,West Virginia,617,14319,38.48483377,-80.90534527,2831,38.48483377,-80.90534527,1852774
50,Wyoming,530,79201,42.93280062,-107.3783683,1815,42.93280062,-107.3783683,563839
